Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-07-21,1.502160584586995e-07,8.75554352054901e-08,-1.58048386584598e-07,5.76599979715336e-08,1.139363966998137e-07,-3.565708778495513e-07,1.7692571944338164e-07,-5.921587155420818e-07,-8.81906899934213e-08,1.2967109527431388e-06,8.99688648014996e-07,-4.296030047794649e-07,-1.9457543452347676e-07,5.20067425657507e-07,-4.181737732158034e-07,2.727395887580365e-07,8.284542921457935e-07,5.152059444072871e-07,3.969099494865794e-07,2.4288492429476986e-06,-7.7207619194121e-08,4.835915263049424e-07,2.0189469126726837e-06,-2.148711527419918e-07,1.2264472542547546e-09
2021-07-22,1.512293996396228e-07,8.87139350860438e-08,-8.30050599301888e-08,8.570277756590361e-08,2.080094913314473e-07,-1.7333083634884538e-07,3.5429637243196934e-07,-3.3082362400350117e-07,-8.937931323487225e-08,2.0907875137736086e-06,2.2292949905754172e-06,2.869028421877986e-07,-6.720347024503068e-08,2.906794827321233e-07,-3.711899734362785e-07,4.3883661728355004e-07,9.007738395346794e-07,1.3694259536241138e-06,5.135276869270171e-07,2.74817825156829e-06,-1.429526622125662e-07,1.010283205011616e-06,2.6365936311307897e-06,-9.823249787990858e-08,-4.169329828462384e-09
2021-07-23,2.4057799634982433e-07,9.289815916593044e-08,-6.306598326877971e-08,8.807148721835878e-08,3.6263134666872227e-07,8.080782312854255e-08,4.6985890196681684e-07,-7.345813470775683e-07,-9.882465454974913e-08,2.294192316448707e-06,2.6923732369675663e-06,-8.500052721681273e-08,-2.989789813378109e-07,4.2877593797206537e-07,-7.013720478913716e-07,6.022006595624929e-07,1.1034705488587663e-06,1.1184751104308373e-06,3.5369261284354146e-07,4.127338681480922e-06,-1.830819599224717e-07,6.952442742012574e-07,4.395056530311939e-06,2.0862706571501559e-07,-8.585135349413168e-08
2021-07-26,2.9221450048040475e-07,1.1511491766320994e-07,-1.6536337952657002e-07,1.3371405447469885e-07,2.079913015978983e-07,1.289681986024046e-07,3.4342329461916195e-07,-9.140712940877111e-07,-1.1628497048224556e-07,2.301045124220317e-06,1.9630337874744913e-06,2.132602108858567e-06,-4.2414451054028906e-07,8.717657866941161e-07,-6.979197995225261e-07,7.004898283826532e-07,1.2612451055679516e-06,1.635063580918974e-06,4.2554769429567686e-07,5.448248567457303e-06,-8.794554836250832e-08,7.797429429527023e-07,3.4651933760604858e-06,2.2711187251480795e-07,-3.920551377190578e-08
2021-07-27,1.7716037645626194e-07,8.907189020295313e-08,-2.855308357224425e-07,9.273052935220328e-08,2.292152165928624e-07,3.354757180387662e-07,3.6820555401824997e-07,-4.7196320120694044e-07,-4.1237896642262535e-08,1.4759098029332045e-06,4.573644267515902e-07,2.692933280120558e-06,-3.42002390600237e-07,9.980448944171402e-07,-4.037725620852789e-07,3.813376555688936e-07,9.548770174043637e-07,2.0729218171441577e-06,5.438863605064947e-07,4.990686054986997e-06,-3.4115712534757893e-07,6.09876517487069e-07,3.3642735011037556e-06,-6.103386929928754e-08,-1.0991488081609077e-07
2021-07-28,9.517165270097185e-08,3.190845185479113e-08,-2.8935616354172733e-07,-1.6246594979642225e-08,8.270729074283645e-08,2.712726369408304e-07,1.2839781605581683e-07,-3.900949287241776e-07,-2.2794137385244057e-08,1.6376788068135406e-06,4.4846755742589507e-07,2.986634748568548e-07,-1.1388364110441147e-07,6.718538282709278e-07,-3.421000671409629e-07,3.938564739527328e-07,8.610090277567234e-07,1.3514245380783583e-06,5.061786999722684e-07,3.8333089572459695e-06,-4.091281245941199e-08,5.106928171976967e-07,2.3254172405575053e-06,-4.2397621225930525e-07,-5.244890557279176e-08
2021-07-29,6.694074908081019e-08,2.3845013288967666e-09,-2.1091363764764977e-07,-2.9880331780166416e-08,7.995692875571774e-08,2.1910401474386372e-07,8.861802010850434e-08,-1.9894274422591317e-07,7.526876264087638e-09,2.6854934266380856e-06,-2.472270568928324e-07,2.0662988834716964e-06,-1.3350422529467702e-07,3.199986370740077e-07,-2.1507925383678912e-07,2.84327117776457e-07,2.6539641307097447e-07,7.549060412216313e-07,1.507825731499895e-07,3.1806641305993326e-06,-2.652356227755562e-08,2.7285829367412443e-07,1.7035236558335097e-06,-4.397957555438007e-07,5.806829436874073e-08
2021-07-30,1.8014952667614575e-07,2.9550618768851106e-08,-6.340424205701143e-08,-3.191907194822932e-08,2.7064499603745634e-07,1.0970399705868315e-07,2.955981182830871e-07,-3.3679952020530466e-09,4.1225933248099904e-08,1.7994827810659434e-06,3.2527971538175276e-07,3.1572410628204654e-06,1.5057969526375258e-07,6.377352082733839e-07,-1.0812511759980286e-07,4.3507419992903837e-07,1.2846866296496976e-06,1.3327631649578028e-06,3.3608028925273496e-07,3.10480100476269e-06,-1.315117467566672e-07,4.67571027676817e-07,2.4316814539089908e-06,-2.188967797419066e-07,8.970772718716114e-08
2021-08-02,1.1973071596038554e-07,7.337377656834963e-09,-1.4983028180274212e-07,-5.2845687593329406e-08,2.8683024967821424e-07,1.0502992179377981e-07,1.8192054127490733e-07,-1.7662174310626941e-07,5.175509968529806e-08,1.9009124334195005e-06,1.4320220095114126e-08,9.413687315307123e-07,-2.612361082338836e-07,5.721521680172907e-07,-2.086170225563047e-07,2.6995682539216925e-07,7.953479375467138e-07,1.375997864385367e-06,2.6363124770873704e-07,1.8421945357672144e-06,-1.104291074192387e-07,-2.6635470809833044e-08,2.0192017286639807e-06,-3.4074277894410873e-07,1.3388852197712199e-07
2021-08-03,1.6625009980813173e-07,1.1225911413192564e-08,-1.7095185803987317e-07,-1.5518001061566042e-07,2.868234372264902e-07,-2.5994543811741308e-08,2.063276339144734e-07,-2.8515413599624564e-07,3.4663265943447636e-08,2.2906238309249396e-06,-6.253539874314989e-08,-1.4103299094540694e-07,-4.2366963002018523e-07,8.038051512150829e-08,-2.811603142529206e-07,4.4235309035569145e-07,8.44694557753228e-07,-2.3285853026166704e-08,4.930916652552509e-07,3.7737815120851675e-06,-1.9448726955834383e-07,-2.0045092495533817e-07,2.1070591476886635e-06,-2.393667104185079e-07,1.6977908899282447e-07
2021-08-04,1.2222177853581323e-07,1.822900222372882e-08,-7.117537671688321e-08,-1.0175374999639888e-07,3.1349966937764997e-07,-1.9459562891022038e-08,2.116500140470646e-07,-1.516728400658119e-07,9.501386426912449e-08,1.6264716617540728e-06,3.215650458417353e-07,5.158222131843247e-07,-1.7058583747530085e-07,-2.205934205093632e-07,-2.417648598299664e-07,5.013675437851923e-07,1.952044941211101e-06,-6.634241139983914e-07,6.026707735705268e-07,4.751779515964789e-06,-1.553583614641438e-07,-2.385105984837782e-07,2.5196429620643137e-06,-3.847847176609029e-07,1.566441318121969e-07
2021-08-05,8.744690265655208e-08,-2.616760052609599e-08,9.423675432620615e-08,-2.0332277790261923e-07,2.7300761122614853e-07,2.290247455418878e-07,1.8075544479725198e-07,-1.5762909525760555e-07,1.726502690119449e-07,2.8392263026962558e-06,8.216828094914251e-07,1.0636615009661482e-06,-2.4631045929381223e-07,-4.636401764771539e-07,-2.1653550302828656e-07,3.5992386585774034e-07,1.947688479814692e-06,-1.8205613107475083e-06,4.865876547703436e-07,4.779584141014867e-06,-2.53090908472166e-07,-4.221510725900549e-07,2.117844619234516e-06,1.7413995569747143e-07,1.4808844512344713e-07
2021-08-06,2.1733689597841162e-07,-2.0612154329632148e-08,4.1663218788160585e-07,-1.4440629013838167e-07,4.0741022374357167e-07,5.243999586336087e-07,3.642448462406243e-07,-8.652705931862379e-09,2.5392134597090706e-07,6.248117744688139e-06,-5.861360750345934e-07,2.5849014782065364e-06,-1.623691149678732e-07,-6.286576418065139e-07,-1.955585192562673e-07,7.363580116824659e-07,1.4109920701471404e-06,-1.829137344443953e-06,4.4750662480653127e-07,4.3712867792528075e-06,-3.4078178512441546e-07,-3.4252534667776685e-07,3.6905406957557884e-06,1.0435935602476773e-06,2.121117486989982e-07
2021-08-09,1.8701218439958661e-07,-3.1551226584436903e-09,6.802021067450791e-07,-1.213106706676394e-07,3.3707326105753017e-07,7.34025776075372e-07,2.9032430989052765e-07,5.214329275472445e-07,1.817582946402725e-07,6.183658955682687e-06,-5.613475817815922e-07,3.722243857646681e-06,2.7607946061472804e-07,-6.005648855826712e-07,6.327576019220744e-08,6.505785623691955e-07,9.716643442913628e-07,-1.5953988856548103e-06,1.0622217656773315e-07,3.983770982253376e-06,-3.813806393129209e-07,-4.860585870144077e-07,3.6986201040170416e-06,1.2606988310954476e-06,1.9596286720082718e-07
2021-08-10,2.535418769273752e-07,5.224596404234959e-08,5.509672218866122e-07,-1.3620575627291572e-07,5.575123945013798e-07,9.384124719887714e-07,5.469589492752324e-07,4.836703867792654e-07,2.3675019780803677e-07,4.35469367780945e-06,2.9307012976139745e-07,6.858678527614797e-06,7.406884581692415e-07,-3.262804175410967e-08,1.8747663725535893e-07,1.0360898797672413e-06,1.5544439867221915e-06,5.96095857641826e-07,2.6117380226836844e-07,4.315916591838516e-06,-2.854073383387014e-07,-2.232527837215773e-07,4.033346557044699e-06,1.4959084910588264e-06,2.0954682243407512e-07
2021-08-11,1.3692327666133218e-07,-5.452049474713195e-09,3.9688532735521395e-07,-1.464560356770998e-07,4.325103383257208e-07,7.628814408088153e-07,3.327651759498795e-07,5.889323703895782e-07,1.859399734624733e-07,7.110872801986416e-06,-1.9985928354676584e-07,3.1304488828575584e-06,7.36009110301359e-07,-2.6548571946218873e-07,2.427829290503215e-07,8.586063095354738e-07,1.0085789059101765e-06,-5.424860039427375e-07,3.5156525922039133e-07,3.398739432392331e-06,-1.1443375887698862e-07,-2.069775902415274e-07,1.3888174501282464e-06,3.083194269118024e-07,1.967596094463464e-07
2021-08-12,1.4132288133465122e-07,6.524034541436075e-09,8.008190798300723e-08,-1.3869087278588645e-07,4.458331718594197e-07,4.720743606356576e-07,2.5242352784777094e-07,4.287497699481163e-07,2.7264667017559076e-07,4.016072565319896e-06,-1.0787631162904963e-06,9.63407224684965e-07,5.930002757748138e-07,-4.785323132944006e-07,5.588329729318474e-08,6.024024266096573e-07,1.0004934913972993e-06,-1.2738325463327142e-06,5.842794982580614e-07,3.112527365209235e-06,-2.2218940999005907e-07,-4.086176064032621e-07,1.6931775033661833e-06,1.755732672666499e-08,2.2262043574023298e-07
2021-08-13,8.808162075294658e-08,1.9696347362286604e-08,1.0466204662321425e-07,-1.9868116768275297e-07,4.138511364054902e-07,4.5507250471012367e-07,2.591751639597812e-07,5.239663239055841e-07,2.146355449494871e-07,4.985592692547973e-06,-1.2162879895519975e-06,1.913143100588863e-06,8.135715321118619e-07,-5.126761389074311e-07,2.1858359673196175e-08,7.141080640887085e-07,8.821167867447448e-07,-1.3885479012573167e-06,7.540800071406564e-07,5.413853097712104e-06,-1.0535765540968662e-07,-3.323612702909824e-07,1.4709057840998129e-06,9.917415765706527e-09,2.7672290664449685e-07
2021-08-16,6.015663140694343e-08,6.122025381019424e-09,1.7596072339926232e-07,-2.4111734932457826e-07,2.2214879249321032e-07,-2.484129777751807e-07,3.4031436701550356e-08,4.770936857428772e-07,2.2849345699885417e-07,5.5429128388544564e-06,-1.2501183634426737e-06,7.259344654183472e-07,6.903773587353072e-07,-1.2072158572563874e-06,-2.359332246393682e-08,4.4137247513920263e-07,-2.0598673186461085e-07,-3.3664099629200595e-06,5.633561805094903e-07,4.399377975294236e-06,-1.552799092516498e-07,-3.276021437709661e-07,1.95953690964014e-06,2.2272690596797668e-07,1.994038660476404e-07
2021-08-17,8.530849341730343e-08,1.3840024129557969e-08,1.6123311441037242e-07,-1.6317396994295702e-07,1.424716368523416e-07,-1.4115549814935457e-07,-2.891807658620786e-08,-3.135773769449584e-09,6.381406378228134e-08,4.189730091181254e-06,3.73272490072648e-07,1.3315871649409398e-06,5.482682243494419e-07,-7.853917958464619e-07,-2.5610229385393307e-07,7.262600157388869e-07,3.3422400162658526e-07,-2.534296666510066e-06,5.145129845842906e-07,4.619236768345973e-06,9.53548854740614e-08,6.434359754256447e-08,2.35176259136092e-06,1.5965406808743134e-07,2.3259486978167192e-07
2021-08-18,1.1369175636395935e-07,2.526491088208867e-08,6.361859433320145e-08,-1.5645235269458593e-07,1.6623392063618281e-07,-2.0641172081416076e-07,1.732042329901783e-08,1.0905158156187454e-08,4.561399337545002e-08,5.705407945071108e-06,7.126877745062429e-07,4.245865365089574e-07,3.927568757226576e-07,-9.540449604936823e-07,-2.4165054484926325e-07,6.528023023935735e-07,-2.1337441014001462e-07,-2.463215023832765e-06,3.7761632141355194e-07,3.407075130895584e-06,1.220795436350895e-07,2.1996892241276443e-07,2.0098718581524386e-06,4.1153716663601675e-07,2.4521122633252175e-07
2021-08-19,7.223739956696999e-08,1.102632838666225e-08,-8.303212036641607e-08,-2.1074591256991698e-07,-2.4609465130856097e-08,-4.7564044883932863e-07,9.25541839214992e-09,-3.434072582280978e-07,1.0636254996950487e-07,3.532737927907208e-06,6.558562978799948e-07,-1.1636966440215876e-06,3.1711399182106745e-07,-1.2408457044276466e-06,-3.005184152736502e-07,4.078652402661659e-07,-2.498847556253693e-07,-2.114010397286615e-06,4.568336430655678e-07,2.7988127089809194e-06,-9.242297202198817e-08,-1.902386756552201e-07,6.795212992006378e-07,3.5825241727545374e-07,7.087314375459859e-08
2021-08-20,1.2008637708538857e-07,8.369570408984012e-09,9.023356198218192e-09,-1.5133130501293958e-07,-3.296821073514297e-09,-7.43937585329106e-08,1.4931123257249103e-08,-4.6331569401442094e-07,-1.3339883175083889e-08,5.37553157973937e-06,1.1972665319600964e-06,-1.5561456932708621e-06,8.789944097254197e-08,-1.1446836076155108e-06,-3.4022534020654857e-07,6.609512193546046e-07,-4.65089412483986e-07,-2.969919545115178e-06,6.826089084078024e-07,3.4879135428442215e-06,2.24334988996401e-07,-1.2868285476477942e-07,1.5157042230508441e-06,5.60571284388537e-07,1.0243737568663376e-08
2021-08-23,1.672491938382659e-07,2.6382064197350013e-08,9.995236922677572e-08,-5.7107720083183474e-08,6.43165020009415e-08,9.906475736186975e-08,1.5280978282869104e-07,-7.598665367169672e-07,-2.2681233696287564e-08,7.324749489354495e-06,1.766467227581908e-06,-2.106061932457704e-06,2.777441854073465e-07,-1.1046475590176753e-06,-4.958998803609747e-07,7.744794770770704e-07,1.0919584292890968e-07,-1.9389695986791413e-06,3.812863632300677e-07,3.5639438605651948e-06,3.7468913002229316e-07,5.268831686087428e-07,2.8841731375081047e-06,1.065104541700973e-06,-2.6259181049708577e-08
2021-08-24,3.049595308134819e-07,4.788366380166532e-08,1.9415789947950155e-07,-3.0130600583992125e-08,1.3517835504478974e-07,2.960240007330774e-07,1.7817180882778802e-07,-4.691086735843043e-07,-7.811043627135616e-09,3.5283863654598533e-06,9.915380015805052e-07,-2.929224938390037e-07,4.610355234413828e-07,-3.7088550939126127e-07,-2.143538013442397e-07,4.797163313369966e-07,5.6902328825827545e-08,-1.0733392860026196e-06,3.8496939761179397e-07,3.303046387831532e-06,4.447976262664422e-07,7.132554327441574e-07,3.7274204501135786e-06,1.0734508826756982e-06,1.8722557120027106e-09
2021-08-25,2.9701249840980835e-07,3.1552539010560324e-08,3.357675708666156e-07,-3.519214415337212e-08,2.1549226811532579e-07,4.399253707081728e-07,2.96816971790968e-07,-5.198241290565635e-07,-4.487289748618886e-09,7.089225011361023e-07,2.2102577447842929e-07,-1.1677739527816787e-06,4.075701653365398e-07,-2.3654439733563843e-07,-2.723729757374135e-07,9.99908239920929e-08,-8.988632232436449e-07,-5.221783051499608e-07,-1.1729474026582065e-07,2.4927417483255267e-06,1.971041958625934e-07,7.700738345100883e-07,6.680567770168414e-06,1.1495020000871131e-06,-8.513220421704732e-08
